Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",120.600000,-100.700000,180.000000,bottom
"C2","0.1u","C_0402_1005Metric",120.600000,-99.400000,180.000000,bottom
"D1","GREEN","LED_0402_1005Metric",130.700000,-105.900000,0.000000,bottom
"F1","300mA","Fuse_0603_1608Metric",119.700000,-106.500000,0.000000,bottom
"R1","2.2k","R_0402_1005Metric",130.700000,-104.600000,0.000000,bottom
"R2","2.2k","R_0402_1005Metric",120.600000,-98.100000,180.000000,bottom
"R3","2.2k","R_0402_1005Metric",128.100000,-103.500000,180.000000,bottom
"R4","10k","R_0402_1005Metric",120.600000,-102.300000,180.000000,bottom
"R5","10k","R_0402_1005Metric",120.600000,-104.900000,180.000000,bottom
"R6","10k","R_0402_1005Metric",120.600000,-103.600000,180.000000,bottom
"U1","CH554E","MSOP-10_3x3mm_P0.5mm",126.300000,-101.000000,180.000000,bottom
"J1","USB_A","usbpcb",118.000000,-101.000000,90.000000,top
